Year,Month,Group,State,Condition Group,Condition,Age Group,COVID-19 Deaths,Number of Mentions
2020.0,1.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,0.0,0.0
2020.0,2.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,0.0,0.0
2020.0,3.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,11.0,11.0
2020.0,4.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,92.0,92.0
2020.0,5.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,128.0,131.0
2020.0,6.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,125.0,125.0
2020.0,7.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,264.0,267.0
2020.0,8.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,318.0,324.0
2020.0,9.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,188.0,190.0
2020.0,10.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,183.0,185.0
2020.0,11.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,217.0,218.0
2020.0,12.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,546.0,554.0
2021.0,1.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,838.0,848.0
2021.0,2.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,334.0,344.0
2021.0,3.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,138.0,141.0
2021.0,4.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,70.0,71.0
2021.0,5.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,74.0,78.0
2021.0,6.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,43.0,43.0
2021.0,7.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,93.0,96.0
2021.0,8.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,619.0,622.0
2021.0,9.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,740.0,759.0
2021.0,10.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,316.0,328.0
2021.0,11.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,100.0,105.0
2021.0,12.0,By Month,Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,93.0,100.0
2020.0,1.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,36.0,36.0
2020.0,5.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,32.0,32.0
2020.0,6.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,31.0,31.0
2020.0,7.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,73.0,78.0
2020.0,8.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,55.0,56.0
2020.0,9.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,26.0,26.0
2020.0,10.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,30.0,30.0
2020.0,11.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,51.0,52.0
2020.0,12.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,153.0,157.0
2021.0,1.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,175.0,181.0
2021.0,2.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,65.0,67.0
2021.0,3.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,32.0,32.0
2021.0,4.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,15.0,16.0
2021.0,5.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,18.0,20.0
2021.0,7.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,16.0,17.0
2021.0,8.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,81.0,83.0
2021.0,9.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,113.0,119.0
2021.0,10.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,58.0,61.0
2021.0,11.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,19.0,20.0
2021.0,12.0,By Month,Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,27.0,28.0
2020.0,1.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,0.0,0.0
2020.0,2.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,32.0,32.0
2020.0,5.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,24.0,24.0
2020.0,6.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,28.0,28.0
2020.0,7.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,42.0,42.0
2020.0,8.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,67.0,67.0
2020.0,9.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,38.0,38.0
2020.0,10.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,40.0,40.0
2020.0,11.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,51.0,51.0
2020.0,12.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,61.0,61.0
2021.0,1.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,120.0,120.0
2021.0,2.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,60.0,60.0
2021.0,3.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,26.0,26.0
2021.0,4.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,14.0,14.0
2021.0,5.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,18.0,18.0
2021.0,6.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,10.0,10.0
2021.0,7.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,22.0,22.0
2021.0,8.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,73.0,73.0
2021.0,9.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,141.0,141.0
2021.0,10.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,62.0,62.0
2021.0,11.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,16.0,16.0
2021.0,12.0,By Month,Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,30.0,30.0
2020.0,1.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,0.0,0.0
2020.0,2.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,0.0,0.0
2020.0,3.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,21.0,21.0
2020.0,4.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,126.0,127.0
2020.0,5.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,144.0,151.0
2020.0,6.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,134.0,136.0
2020.0,7.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,299.0,306.0
2020.0,8.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,380.0,386.0
2020.0,9.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,234.0,240.0
2020.0,10.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,245.0,246.0
2020.0,11.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,321.0,327.0
2020.0,12.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,694.0,705.0
2021.0,1.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,962.0,976.0
